Order Date,Order ID,Product 1,Product 2,Product Pair,Pair Count
2019-01-07,141275,USB-C Charging Cable,Wired Headphones,USB-C Charging Cable + Wired Headphones,1
2019-01-02,141290,AA Batteries (4-pack),Apple Airpods Headphones,AA Batteries (4-pack) + Apple Airpods Headphones,1
2019-01-10,141365,Vareebadd Phone,Wired Headphones,Vareebadd Phone + Wired Headphones,1
2019-01-03,141384,Google Phone,USB-C Charging Cable,Google Phone + USB-C Charging Cable,1
2019-01-12,141450,Bose SoundSport Headphones,Google Phone,Bose SoundSport Headphones + Google Phone,1
2019-01-09,141457,Apple Airpods Headphones,iPhone,Apple Airpods Headphones + iPhone,1
2019-01-26,141478,Apple Airpods Headphones,Google Phone,Apple Airpods Headphones + Google Phone,1
2019-01-31,141550,Apple Airpods Headphones,Wired Headphones,Apple Airpods Headphones + Wired Headphones,1
2019-01-31,141550,Apple Airpods Headphones,iPhone,Apple Airpods Headphones + iPhone,1
2019-01-31,141550,Wired Headphones,iPhone,Wired Headphones + iPhone,1
2019-01-29,141587,Apple Airpods Headphones,USB-C Charging Cable,Apple Airpods Headphones + USB-C Charging Cable,1
2019-01-30,141645,Lightning Charging Cable,Wired Headphones,Lightning Charging Cable + Wired Headphones,1
2019-01-14,141738,Lightning Charging Cable,iPhone,Lightning Charging Cable + iPhone,1
2019-01-11,141782,27in FHD Monitor,Bose SoundSport Headphones,27in FHD Monitor + Bose SoundSport Headphones,1
2019-01-01,141789,Google Phone,USB-C Charging Cable,Google Phone + USB-C Charging Cable,1
2019-01-19,141795,Wired Headphones,iPhone,Wired Headphones + iPhone,1
2019-01-08,141809,Google Phone,USB-C Charging Cable,Google Phone + USB-C Charging Cable,1
2019-01-10,141843,AA Batteries (4-pack),AAA Batteries (4-pack),AA Batteries (4-pack) + AAA Batteries (4-pack),1
2019-01-18,141900,USB-C Charging Cable,Vareebadd Phone,USB-C Charging Cable + Vareebadd Phone,1
2019-01-18,141900,USB-C Charging Cable,Wired Headphones,USB-C Charging Cable + Wired Headphones,1
2019-01-18,141900,Vareebadd Phone,Wired Headphones,Vareebadd Phone + Wired Headphones,1
2019-01-26,141901,Google Phone,USB-C Charging Cable,Google Phone + USB-C Charging Cable,1
2019-01-19,141910,Vareebadd Phone,Wired Headphones,Vareebadd Phone + Wired Headphones,1
2019-01-11,141939,34in Ultrawide Monitor,Lightning Charging Cable,34in Ultrawide Monitor + Lightning Charging Cable,1
2019-01-11,141946,USB-C Charging Cable,Wired Headphones,USB-C Charging Cable + Wired Headphones,1
2019-01-17,141947,Bose SoundSport Headphones,Lightning Charging Cable,Bose SoundSport Headphones + Lightning Charging Cable,1
2019-01-09,141965,Google Phone,Wired Headphones,Google Phone + Wired Headphones,1
2019-01-25,141967,Wired Headphones,iPhone,Wired Headphones + iPhone,1
2019-01-05,141970,Apple Airpods Headphones,Lightning Charging Cable,Apple Airpods Headphones + Lightning Charging Cable,1
2019-01-24,141972,Google Phone,iPhone,Google Phone + iPhone,1
2019-01-06,141993,Wired Headphones,iPhone,Wired Headphones + iPhone,1
2019-01-04,142010,Lightning Charging Cable,iPhone,Lightning Charging Cable + iPhone,1
2019-01-29,142023,20in Monitor,Wired Headphones,20in Monitor + Wired Headphones,1
2019-01-11,142037,Apple Airpods Headphones,iPhone,Apple Airpods Headphones + iPhone,1
2019-01-31,142039,Google Phone,USB-C Charging Cable,Google Phone + USB-C Charging Cable,1
2019-01-04,142048,Google Phone,Wired Headphones,Google Phone + Wired Headphones,1
2019-01-26,142085,Lightning Charging Cable,iPhone,Lightning Charging Cable + iPhone,1
2019-01-01,142112,20in Monitor,Bose SoundSport Headphones,20in Monitor + Bose SoundSport Headphones,1
2019-01-20,142128,Bose SoundSport Headphones,Google Phone,Bose SoundSport Headphones + Google Phone,1
2019-01-20,142128,Bose SoundSport Headphones,Wired Headphones,Bose SoundSport Headphones + Wired Headphones,1
2019-01-20,142128,Google Phone,Wired Headphones,Google Phone + Wired Headphones,1
2019-01-04,142144,USB-C Charging Cable,Vareebadd Phone,USB-C Charging Cable + Vareebadd Phone,1
2019-01-18,142145,Apple Airpods Headphones,USB-C Charging Cable,Apple Airpods Headphones + USB-C Charging Cable,1
